codeRGI;SIR;Movement
290012;35.86538461538461;14347.692307692309
290006;11.5;5386.923076923077
290007;47.44230769230769;15987.307692307691
290013;13.25;6236.153846153846
290005;20.884615384615383;9516.923076923076
290011;34.11538461538461;14183.846153846154
290010;6.865384615384615;3218.076923076923
290004;29.076923076923077;14363.076923076924
290014;21.53846153846154;10448.461538461539
290028;3.1153846153846154;1873.076923076923
290029;64.03846153846153;29781.53846153846
290015;14.0;5036.923076923077
290001;59.15384615384615;29558.46153846154
290017;13.442307692307692;4474.615384615385
290003;27.846153846153847;14309.23076923077
290002;11.923076923076923;9885.384615384615
290016;16.403846153846153;5260.0
290033;10.923076923076923;7240.7692307692305
290027;5.153846153846154;3341.5384615384614
290026;2.9615384615384617;1838.4615384615386
290032;7.653846153846154;6288.461538461538
290018;16.28846153846154;5416.153846153846
290024;2.1538461538461537;1400.0
290030;13.576923076923077;6914.615384615385
290031;8.634615384615385;3736.153846153846
290025;8.288461538461538;5716.923076923077
290019;3.6346153846153846;1611.5384615384614
290021;11.51923076923077;4140.0
290009;18.0;5419.615384615385
290008;6.6923076923076925;2695.0
290034;10.615384615384615;4269.2307692307695
290020;7.5;3580.0
290022;3.730769230769231;2031.5384615384614
290023;12.26923076923077;6390.0
